,flop,board_type,0b,1b,2b,profit
0,"[12, 11, 9]",rainbow,1,1,1,1.108397417398742
1,"[12, 11, 9]",rainbow,8,6,4,1.432749624207496
2,"[12, 11, 9]",rainbow,10,7,5,1.527003483193865
3,"[12, 11, 9]",rainbow,15,10,7,1.7045046769757701
4,"[12, 11, 9]",rainbow,16,11,8,1.7177936488208463
