,flop,board_type,0b,1b,2b,profit
0,"[14, 6, 3]",rainbow,1,1,1,-6.015409109447005
1,"[14, 6, 3]",rainbow,2,2,2,-6.006368453571429
2,"[14, 6, 3]",rainbow,8,6,4,-4.2658346245391705
3,"[14, 6, 3]",rainbow,10,7,5,-3.1525443611751154
4,"[14, 6, 3]",rainbow,15,10,7,0.1602157360599077
5,"[14, 6, 3]",rainbow,16,11,8,0.5168545990237687
