,flop,board_type,0b,1b,2b,profit
0,"[13, 6, 3]",two-tone,1,1,1,0.8910843587411317
1,"[13, 6, 3]",two-tone,8,6,4,1.2784210746272158
2,"[13, 6, 3]",two-tone,15,10,7,1.3531652279542508
3,"[13, 6, 3]",two-tone,16,11,8,1.4823543935636447
