,flop,board_type,0b,1b,2b,profit,flop,max_profit
52,"[8, 5, 5]",two-tone,16,11,8,1.7736717155920902,"[8, 5, 5]",1.7736717155920902
53,"[8, 5, 4]",two-tone,16,11,8,1.7504443683990445,"[8, 5, 4]",1.7504443683990445
54,"[8, 5, 3]",two-tone,16,11,8,1.76152177356984,"[8, 5, 3]",1.76152177356984
55,"[8, 5, 2]",two-tone,16,11,8,1.7564220881195458,"[8, 5, 2]",1.7564220881195458
56,"[8, 4, 4]",two-tone,16,11,8,1.7568547739259257,"[8, 4, 4]",1.7568547739259257
57,"[8, 4, 3]",two-tone,16,11,8,1.7376715972947758,"[8, 4, 3]",1.7376715972947758
58,"[8, 4, 2]",two-tone,16,11,8,1.7354071284598882,"[8, 4, 2]",1.7354071284598882
59,"[8, 3, 3]",two-tone,16,11,8,1.808660593167279,"[8, 3, 3]",1.808660593167279
60,"[8, 3, 2]",two-tone,16,11,8,1.7728177997509296,"[8, 3, 2]",1.7728177997509296
61,"[8, 2, 2]",two-tone,16,11,8,1.8049281369227943,"[8, 2, 2]",1.8049281369227943
62,"[7, 7, 6]",two-tone,16,11,8,1.7887433772893768,"[7, 7, 6]",1.7887433772893768
63,"[7, 7, 5]",two-tone,16,11,8,1.7513449208310758,"[7, 7, 5]",1.7513449208310758
64,"[7, 7, 4]",two-tone,16,11,8,1.702697489881586,"[7, 7, 4]",1.702697489881586
65,"[7, 7, 3]",two-tone,16,11,8,1.7393549264645596,"[7, 7, 3]",1.7393549264645596
66,"[7, 7, 2]",two-tone,16,11,8,1.7514926379567781,"[7, 7, 2]",1.7514926379567781
67,"[7, 6, 6]",two-tone,16,11,8,1.9102730706289976,"[7, 6, 6]",1.9102730706289976
68,"[7, 6, 5]",two-tone,16,11,8,1.7815205246113992,"[7, 6, 5]",1.7815205246113992
69,"[7, 6, 4]",two-tone,16,11,8,1.8235511590913331,"[7, 6, 4]",1.8235511590913331
70,"[7, 6, 3]",two-tone,16,11,8,1.8227723306025638,"[7, 6, 3]",1.8227723306025638
71,"[7, 6, 2]",two-tone,16,11,8,1.7949913678990257,"[7, 6, 2]",1.7949913678990257
72,"[7, 5, 5]",two-tone,16,11,8,1.870047789565812,"[7, 5, 5]",1.870047789565812
73,"[7, 5, 4]",two-tone,16,11,8,1.845829107570208,"[7, 5, 4]",1.845829107570208
74,"[7, 5, 3]",two-tone,16,11,8,1.9282598555555557,"[7, 5, 3]",1.9282598555555557
75,"[7, 5, 2]",two-tone,16,11,8,1.8658864835871405,"[7, 5, 2]",1.8658864835871405
76,"[7, 4, 4]",two-tone,16,11,8,1.85162285623718,"[7, 4, 4]",1.85162285623718
77,"[7, 4, 3]",two-tone,16,11,8,1.8518285034068789,"[7, 4, 3]",1.8518285034068789
78,"[7, 4, 2]",two-tone,16,11,8,1.845757761586716,"[7, 4, 2]",1.845757761586716
79,"[7, 3, 3]",two-tone,16,11,8,1.89358966225,"[7, 3, 3]",1.89358966225
80,"[7, 3, 2]",two-tone,16,11,8,1.8796828287316176,"[7, 3, 2]",1.8796828287316176
81,"[7, 2, 2]",two-tone,16,11,8,1.9024107784000004,"[7, 2, 2]",1.9024107784000004
82,"[6, 6, 5]",two-tone,16,11,8,1.8590723556197568,"[6, 6, 5]",1.8590723556197568
83,"[6, 6, 4]",two-tone,16,11,8,1.8052071400770244,"[6, 6, 4]",1.8052071400770244
84,"[6, 6, 3]",two-tone,16,11,8,1.8215029973586585,"[6, 6, 3]",1.8215029973586585
85,"[6, 6, 2]",two-tone,16,11,8,1.8249102449023304,"[6, 6, 2]",1.8249102449023304
86,"[6, 5, 5]",two-tone,16,11,8,1.9701664379697712,"[6, 5, 5]",1.9701664379697712
87,"[6, 5, 4]",two-tone,16,11,8,1.8989667036019535,"[6, 5, 4]",1.8989667036019535
88,"[6, 5, 3]",two-tone,16,11,8,1.98110486699006,"[6, 5, 3]",1.98110486699006
89,"[6, 5, 2]",two-tone,16,11,8,1.965628680909091,"[6, 5, 2]",1.965628680909091
90,"[6, 4, 4]",two-tone,16,11,8,1.958543716162776,"[6, 4, 4]",1.958543716162776
91,"[6, 4, 3]",two-tone,16,11,8,1.9639805813069309,"[6, 4, 3]",1.9639805813069309
92,"[6, 4, 2]",two-tone,16,11,8,1.9513376044685988,"[6, 4, 2]",1.9513376044685988
