,flop,board_type,0b,1b,2b,profit,flop,max_profit
59,"[8, 3, 3]",two-tone,1,1,1,-0.06814716753077224,"[8, 3, 3]",-0.06814716753077224
60,"[8, 3, 2]",two-tone,1,1,1,-0.4297157304437565,"[8, 3, 2]",-0.4297157304437565
61,"[8, 2, 2]",two-tone,1,1,1,-0.117063133058087,"[8, 2, 2]",-0.117063133058087
62,"[7, 7, 6]",two-tone,16,11,8,0.6715044881606328,"[7, 7, 6]",0.6715044881606328
63,"[7, 7, 5]",two-tone,1,1,1,0.5859080097733809,"[7, 7, 5]",0.5859080097733809
64,"[7, 7, 4]",two-tone,1,1,1,0.12786502540392694,"[7, 7, 4]",0.12786502540392694
65,"[7, 7, 3]",two-tone,1,1,1,0.09899730150161004,"[7, 7, 3]",0.09899730150161004
66,"[7, 7, 2]",two-tone,1,1,1,0.26400688248536924,"[7, 7, 2]",0.26400688248536924
67,"[7, 6, 6]",two-tone,16,11,8,0.9430141657862654,"[7, 6, 6]",0.9430141657862654
68,"[7, 6, 5]",two-tone,1,1,1,-1.4332846678557518,"[7, 6, 5]",-1.4332846678557518
69,"[7, 6, 4]",two-tone,1,1,1,-0.013231237609344942,"[7, 6, 4]",-0.013231237609344942
70,"[7, 6, 3]",two-tone,1,1,1,0.29342123245652146,"[7, 6, 3]",0.29342123245652146
71,"[7, 6, 2]",two-tone,1,1,1,0.23090723696110876,"[7, 6, 2]",0.23090723696110876
72,"[7, 5, 5]",two-tone,1,1,1,0.6782056059312367,"[7, 5, 5]",0.6782056059312367
73,"[7, 5, 4]",two-tone,1,1,1,0.5576905864686226,"[7, 5, 4]",0.5576905864686226
74,"[7, 5, 3]",two-tone,1,1,1,0.3140981526152909,"[7, 5, 3]",0.3140981526152909
75,"[7, 5, 2]",two-tone,1,1,1,0.4675888986175107,"[7, 5, 2]",0.4675888986175107
76,"[7, 4, 4]",two-tone,1,1,1,0.2133943931894946,"[7, 4, 4]",0.2133943931894946
77,"[7, 4, 3]",two-tone,1,1,1,-0.11135482936625454,"[7, 4, 3]",-0.11135482936625454
78,"[7, 4, 2]",two-tone,1,1,1,-0.17191801792114808,"[7, 4, 2]",-0.17191801792114808
