,flop,board_type,0b,1b,2b,profit
0,"[9, 7, 4]",rainbow,1,1,1,3.9040412414814814
1,"[9, 7, 4]",rainbow,2,2,2,4.65731887
2,"[9, 7, 4]",rainbow,8,6,4,4.657407674444444
3,"[9, 7, 4]",rainbow,15,10,7,4.662450388888889
