,flop,board_type,0b,1b,2b,profit
0,"[13, 13, 9]",two-tone,1,1,1,0.5767833762876693
1,"[13, 13, 9]",two-tone,2,2,2,0.5769118207369394
2,"[13, 13, 9]",two-tone,3,2,2,0.6337753124286111
3,"[13, 13, 9]",two-tone,4,3,2,0.6550557070257043
4,"[13, 13, 9]",two-tone,8,6,4,0.6632482091185259
