,flop,board_type,0b,1b,2b,profit
0,"[14, 8, 2]",two-tone,1,1,1,-0.5114040130607039
1,"[14, 8, 2]",two-tone,2,2,2,-0.5071981058286327
2,"[14, 8, 2]",two-tone,3,2,2,-0.49766819184797273
