,flop,board_type,0b,1b,2b,profit
0,"[5, 3, 3]",two-tone,1,1,1,3.0549797245584527
1,"[5, 3, 3]",two-tone,2,2,2,3.057371934819176
2,"[5, 3, 3]",two-tone,3,2,2,3.0582695037846928
3,"[5, 3, 3]",two-tone,8,6,4,3.3661559171572755
4,"[5, 3, 3]",two-tone,10,7,5,3.7083943254836003
5,"[5, 3, 3]",two-tone,15,10,7,4.914106043734231
6,"[5, 3, 3]",two-tone,16,11,8,5.819499840201851
