,flop,board_type,0b,1b,2b,profit
0,"[9, 6, 3]",monotone,1,1,1,-4.86764393899449
1,"[9, 6, 3]",monotone,2,2,2,-4.8667194183884295
2,"[9, 6, 3]",monotone,3,2,2,-4.863656196873278
