,flop,board_type,0b,1b,2b,profit
0,"[14, 9, 4]",monotone,1,1,1,1.201414577124183
1,"[14, 9, 4]",monotone,8,6,4,1.5199567620799355
2,"[14, 9, 4]",monotone,10,7,5,1.5222327903985193
3,"[14, 9, 4]",monotone,15,10,7,1.813405198805599
4,"[14, 9, 4]",monotone,16,11,8,2.162447331106484
