,flop,board_type,0b,1b,2b,profit
0,"[10, 7, 2]",two-tone,1,1,1,2.5642453582158424
1,"[10, 7, 2]",two-tone,2,2,2,2.5675488601640613
2,"[10, 7, 2]",two-tone,3,2,2,2.570011418738786
3,"[10, 7, 2]",two-tone,4,3,2,2.734187022763394
4,"[10, 7, 2]",two-tone,8,6,4,3.289805691771341
5,"[10, 7, 2]",two-tone,10,7,5,3.4540762687772375
6,"[10, 7, 2]",two-tone,15,10,7,3.6672582830556264
7,"[10, 7, 2]",two-tone,16,11,8,3.7763065776211233
