,flop,board_type,0b,1b,2b,profit
0,"[12, 11, 11]",two-tone,0,0,0,1.1157700717029448
1,"[12, 11, 11]",two-tone,1,1,1,1.9939517490396923
2,"[12, 11, 11]",two-tone,2,2,2,2.1351502023047377
3,"[12, 11, 11]",two-tone,3,2,2,2.2555081534013466
4,"[12, 11, 11]",two-tone,7,5,4,2.3669988904667676
5,"[12, 11, 11]",two-tone,8,6,4,2.577709925985519
6,"[12, 11, 11]",two-tone,10,7,5,2.6113696066814107
7,"[12, 11, 11]",two-tone,10,6,4,2.6274304005354443
8,"[12, 11, 11]",two-tone,10,10,7,2.629137921895006
9,"[12, 11, 11]",two-tone,10,11,8,2.66443805133279
10,"[12, 11, 11]",two-tone,10,11,10,2.6757124763124196
