,flop,board_type,0b,1b,2b,profit
0,"[2, 2, 2]",rainbow,1,1,1,-0.026080864620630972
1,"[2, 2, 2]",rainbow,2,2,2,-0.024521383290707743
2,"[2, 2, 2]",rainbow,3,2,2,-0.024053582779198557
3,"[2, 2, 2]",rainbow,4,3,2,-0.022716411423699845
