,flop,board_type,0b,1b,2b,profit
0,"[8, 5, 4]",rainbow,1,1,1,-2.66245562985596
1,"[8, 5, 4]",rainbow,2,2,2,-2.658985123526846
2,"[8, 5, 4]",rainbow,8,6,4,-0.6316074142295949
3,"[8, 5, 4]",rainbow,10,7,5,0.7579877127891739
4,"[8, 5, 4]",rainbow,15,10,7,3.421528903099082
5,"[8, 5, 4]",rainbow,16,11,8,3.7607239240506325
