,flop,board_type,0b,1b,2b,profit
0,"[11, 11, 10]",rainbow,1,1,1,0.3995269897713791
1,"[11, 11, 10]",rainbow,2,2,2,1.0279820121373193
2,"[11, 11, 10]",rainbow,3,2,2,1.5880717519616092
3,"[11, 11, 10]",rainbow,4,3,2,2.1388195082702106
4,"[11, 11, 10]",rainbow,8,6,4,2.95788393260096
5,"[11, 11, 10]",rainbow,10,7,5,3.369331066772979
6,"[11, 11, 10]",rainbow,15,10,7,4.475418083620524
7,"[11, 11, 10]",rainbow,16,11,8,4.578451735300111
