,flop,board_type,0b,1b,2b,profit
0,"[7, 2, 2]",two-tone,1,1,1,-0.12571418651210356
1,"[7, 2, 2]",two-tone,2,2,2,-0.1247215005817317
2,"[7, 2, 2]",two-tone,3,2,2,-0.12309761486744614
