,flop,board_type,0b,1b,2b,profit
0,"[14, 14, 10]",rainbow,1,1,1,1.217898992321704
1,"[14, 14, 10]",rainbow,2,2,2,1.2252624013380975
2,"[14, 14, 10]",rainbow,3,2,2,1.5987698226495726
3,"[14, 14, 10]",rainbow,4,3,2,1.8136559459156514
4,"[14, 14, 10]",rainbow,8,6,4,2.420107097019056
5,"[14, 14, 10]",rainbow,10,7,5,2.4616455585575174
6,"[14, 14, 10]",rainbow,15,10,7,3.1358194150203174
7,"[14, 14, 10]",rainbow,16,11,8,3.1869046102914393
