,flop,board_type,0b,1b,2b,profit
0,"[11, 11, 4]",two-tone,1,1,1,1.356059701713611
1,"[11, 11, 4]",two-tone,2,2,2,1.3620719440623452
2,"[11, 11, 4]",two-tone,8,6,4,1.958607754980085
3,"[11, 11, 4]",two-tone,15,10,7,2.3830521482678537
