,flop,board_type,0b,1b,2b,profit
0,"[14, 11, 11]",rainbow,1,1,1,-0.4928026121216218
1,"[14, 11, 11]",rainbow,2,2,2,0.17794742690789375
2,"[14, 11, 11]",rainbow,8,6,4,1.1617435015814848
3,"[14, 11, 11]",rainbow,15,10,7,1.2508618553911914
