,flop,board_type,0b,1b,2b,profit
0,"[13, 12, 4]",two-tone,1,1,1,4.177811804716981
1,"[13, 12, 4]",two-tone,10,7,5,4.183472814150942
2,"[13, 12, 4]",two-tone,16,11,8,4.187578545283019
