,flop,board_type,0b,1b,2b,profit
0,"[14, 9, 5]",two-tone,1,1,1,0.5253660379017592
1,"[14, 9, 5]",two-tone,8,6,4,2.1544119341115824
2,"[14, 9, 5]",two-tone,10,7,5,2.4673379947240743
3,"[14, 9, 5]",two-tone,15,10,7,5.4871523932989685
4,"[14, 9, 5]",two-tone,16,11,8,5.8090654689508785
