,flop,board_type,0b,1b,2b,profit
0,"[14, 8, 7]",rainbow,1,1,1,6.220722614842614
1,"[14, 8, 7]",rainbow,2,2,2,6.226318099757869
2,"[14, 8, 7]",rainbow,15,10,7,6.227791168305084
