,,,,,,,,,,,,,,,43 SB 3Bet vs HJ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,K,Q,J,T,9,8,7,6,5,4,3,2,,,K,Q,J,T,9,8,7,6,5,4,3,2,,,Q,J,T,9,8,7,6,5,4,3,2
A,,1,1,1,2,3,8,8,10,10,10,10,10,,K,1,1,1,1,1,3,1,2,1,2,3,2,,Q,,,,,,,,,,,,,
K,,1,16,3,1,1,1,1,1,1,1,1,1,,Q,,1,1,10,1,1,1,1,1,1,1,1,,J,,,,,,,,,,,,,
Q,,,1,16,1,1,1,1,1,1,1,1,1,,J,,,15,16,2,1,1,2,2,2,2,1,,T,,,,,,,,,,,,,
J,,,,1,8,1,1,1,1,1,1,1,1,,T,,,,1,8,1,1,1,1,1,1,1,,9,,,,,,,,,,,,,
T,,,,,2,1,1,1,2,1,2,1,2,,9,,,,,2,1,1,1,2,1,2,2,,8,,,,,,,,,,,,,
9,,,,,,8,1,2,1,1,1,2,1,,8,,,,,,8,1,1,2,2,3,3,,7,,,,,,,,,,,,,
8,,,,,,,8,2,10,10,10,10,10,,7,,,,,,,2,1,1,1,2,2,,6,,,,,,,,,,,,,
7,,,,,,,,8,10,10,10,10,10,,6,,,,,,,,2,1,2,1,1,,5,,,,,,,,,,,,,
6,,,,,,,,,10,10,10,10,10,,5,,,,,,,,,1,1,1,1,,4,,,,,,,,,,,,,
5,,,,,,,,,,10,10,10,10,,4,,,,,,,,,,2,1,,,3,,,,,,,,,,,,,
4,,,,,,,,,,,10,10,10,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,
3,,,,,,,,,,,,10,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,J,T,9,8,7,6,5,4,3,2,,,T,9,8,7,6,5,4,3,2,,,9,8,7,6,5,4,3,2,,,8,7,6,5,4,3,2
J,,,,,,,,,,,,T,,,,,,,,,,,9,,,,,,,,,,8,,,,,,,
T,,,,,,,,,,,,9,,,,,,,,,,,8,,,,,,,,,,7,,,,,,,
9,,,,,,,,,,,,8,,,,,,,,,,,7,,,,,,,,,,6,,,,,,,
8,,,,,,,,,,,,7,,,,,,,,,,,6,,,,,,,,,,5,,,,,,,
7,,,,,,,,,,,,6,,,,,,,,,,,5,,,,,,,,,,4,,,,,,,
6,,,,,,,,,,,,5,,,,,,,,,,,4,,,,,,,,,,3,,,,,,,
5,,,,,,,,,,,,4,,,,,,,,,,,3,,,,,,,,,,2,,,,,,,
4,,,,,,,,,,,,3,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,6,5,4,3,2,,,6,5,4,3,2,,,5,4,3,2,,,4,3,2,,,3,2,,,2
7,,,,,,,,6,,,,,,,5,,,,,,4,,,,,3,,,,2,
6,,,,,,,,5,,,,,,,4,,,,,,3,,,,,2,,,,,
5,,,,,,,,4,,,,,,,3,,,,,,2,,,,,,,,,,
4,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,
3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
