,flop,board_type,0b,1b,2b,profit
0,"[9, 4, 2]",monotone,1,1,1,1.0983287033829143
1,"[9, 4, 2]",monotone,2,2,2,1.1014686488350673
2,"[9, 4, 2]",monotone,3,2,2,1.3056396639068053
3,"[9, 4, 2]",monotone,4,3,2,1.8687011955377124
4,"[9, 4, 2]",monotone,8,6,4,2.5175218296959327
5,"[9, 4, 2]",monotone,10,7,5,3.1013275773331577
6,"[9, 4, 2]",monotone,15,10,7,4.122860636316966
7,"[9, 4, 2]",monotone,16,11,8,4.550149147084374
