,flop,board_type,0b,1b,2b,profit
0,"[10, 8, 2]",two-tone,1,1,1,1.2994686533730144
1,"[10, 8, 2]",two-tone,2,2,2,1.3226480448412687
2,"[10, 8, 2]",two-tone,3,2,2,1.5147330823412697
3,"[10, 8, 2]",two-tone,4,3,2,1.841859956349206
4,"[10, 8, 2]",two-tone,8,6,4,2.3310854013888878
5,"[10, 8, 2]",two-tone,10,7,5,2.790442177976189
6,"[10, 8, 2]",two-tone,15,10,7,5.049915158134921
7,"[10, 8, 2]",two-tone,16,11,8,5.064665362301586
