,flop,board_type,0b,1b,2b,profit
0,"[6, 6, 2]",two-tone,1,1,1,1.8479531638316578
1,"[6, 6, 2]",two-tone,8,6,4,2.826945885155232
2,"[6, 6, 2]",two-tone,10,7,5,3.3106176642031713
3,"[6, 6, 2]",two-tone,15,10,7,4.620955979822345
4,"[6, 6, 2]",two-tone,16,11,8,5.363228089079509
