,flop,board_type,0b,1b,2b,profit
0,"[13, 7, 2]",two-tone,1,1,1,1.4554561660957115
1,"[13, 7, 2]",two-tone,8,6,4,2.0509514638467574
2,"[13, 7, 2]",two-tone,10,7,5,2.095299774843097
3,"[13, 7, 2]",two-tone,15,10,7,2.7856877385634604
4,"[13, 7, 2]",two-tone,16,11,8,2.8910784862578467
