,_flop,_board_type,_0b,_1b,_2b,_profit,flop,max_profit
149,"[14, 14, 8]",two-tone,16,11,8,2.69194020975994,"[14, 14, 8]",2.69194020975994
150,"[14, 14, 7]",two-tone,16,11,8,2.6252516531271888,"[14, 14, 7]",2.6252516531271888
151,"[14, 14, 6]",two-tone,16,11,8,2.5968858725148327,"[14, 14, 6]",2.5968858725148327
152,"[14, 14, 5]",two-tone,16,11,8,2.5621797669063358,"[14, 14, 5]",2.5621797669063358
153,"[14, 14, 4]",two-tone,16,11,8,2.5650842221750967,"[14, 14, 4]",2.5650842221750967
154,"[14, 14, 3]",two-tone,16,11,8,2.570320726278907,"[14, 14, 3]",2.570320726278907
155,"[14, 14, 2]",two-tone,16,11,8,2.6242479367269045,"[14, 14, 2]",2.6242479367269045
156,"[14, 14, 13]",two-tone,16,11,8,2.7453131585343407,"[14, 14, 13]",2.7453131585343407
157,"[14, 14, 12]",two-tone,16,11,8,2.8072318270063934,"[14, 14, 12]",2.8072318270063934
158,"[14, 14, 11]",two-tone,16,11,8,2.6900165452569507,"[14, 14, 11]",2.6900165452569507
159,"[14, 14, 10]",two-tone,16,11,8,2.6718780586987747,"[14, 14, 10]",2.6718780586987747
160,"[14, 13, 9]",two-tone,16,11,8,2.2569269041151307,"[14, 13, 9]",2.2569269041151307
161,"[14, 13, 8]",two-tone,16,11,8,2.280404767420271,"[14, 13, 8]",2.280404767420271
162,"[14, 13, 7]",two-tone,16,11,8,2.2002310719680307,"[14, 13, 7]",2.2002310719680307
163,"[14, 13, 6]",two-tone,16,11,8,2.211110004978328,"[14, 13, 6]",2.211110004978328
164,"[14, 13, 5]",two-tone,16,11,8,2.1743242003770984,"[14, 13, 5]",2.1743242003770984
165,"[14, 13, 4]",two-tone,16,11,8,2.2174334904592263,"[14, 13, 4]",2.2174334904592263
166,"[14, 13, 3]",two-tone,16,11,8,2.1636281534942885,"[14, 13, 3]",2.1636281534942885
167,"[14, 13, 2]",two-tone,16,11,8,2.228603944726677,"[14, 13, 2]",2.228603944726677
168,"[14, 13, 13]",two-tone,16,11,8,2.694775458520192,"[14, 13, 13]",2.694775458520192
169,"[14, 13, 12]",two-tone,16,11,8,2.5842291783831017,"[14, 13, 12]",2.5842291783831017
170,"[14, 13, 11]",two-tone,16,11,8,2.5709950930071988,"[14, 13, 11]",2.5709950930071988
171,"[14, 13, 10]",two-tone,16,11,8,2.9563265275483888,"[14, 13, 10]",2.9563265275483888
172,"[14, 12, 9]",two-tone,16,11,8,2.2921121759133447,"[14, 12, 9]",2.2921121759133447
173,"[14, 12, 8]",two-tone,16,11,8,2.368725946090048,"[14, 12, 8]",2.368725946090048
174,"[14, 12, 7]",two-tone,16,11,8,2.295758313793377,"[14, 12, 7]",2.295758313793377
175,"[14, 12, 6]",two-tone,16,11,8,2.2731913196678777,"[14, 12, 6]",2.2731913196678777
176,"[14, 12, 5]",two-tone,16,11,8,2.191916165934782,"[14, 12, 5]",2.191916165934782
177,"[14, 12, 4]",two-tone,16,11,8,2.2288298803103173,"[14, 12, 4]",2.2288298803103173
178,"[14, 12, 3]",two-tone,16,11,8,2.2232349421736233,"[14, 12, 3]",2.2232349421736233
179,"[14, 12, 2]",two-tone,16,11,8,2.291042316732804,"[14, 12, 2]",2.291042316732804
180,"[14, 12, 12]",two-tone,16,11,8,2.745136799891962,"[14, 12, 12]",2.745136799891962
181,"[14, 12, 11]",two-tone,16,11,8,2.6364966774736307,"[14, 12, 11]",2.6364966774736307
182,"[14, 12, 10]",two-tone,16,11,8,2.9993597851406766,"[14, 12, 10]",2.9993597851406766
183,"[14, 11, 9]",two-tone,16,11,8,2.215297530700868,"[14, 11, 9]",2.215297530700868
184,"[14, 11, 8]",two-tone,16,11,8,2.2949207130029037,"[14, 11, 8]",2.2949207130029037
185,"[14, 11, 7]",two-tone,16,11,8,2.261490749107525,"[14, 11, 7]",2.261490749107525
186,"[14, 11, 6]",two-tone,16,11,8,2.1994181020679937,"[14, 11, 6]",2.1994181020679937
187,"[14, 11, 5]",two-tone,16,11,8,2.151584037804271,"[14, 11, 5]",2.151584037804271
188,"[14, 11, 4]",two-tone,16,11,8,2.1943504424972877,"[14, 11, 4]",2.1943504424972877
189,"[14, 11, 3]",two-tone,16,11,8,2.1887738745432617,"[14, 11, 3]",2.1887738745432617
190,"[14, 11, 2]",two-tone,16,11,8,2.256601471003477,"[14, 11, 2]",2.256601471003477
191,"[14, 11, 11]",two-tone,16,11,8,2.6385152986398577,"[14, 11, 11]",2.6385152986398577
192,"[14, 11, 10]",two-tone,16,11,8,3.101143402551144,"[14, 11, 10]",3.101143402551144
193,"[14, 10, 9]",two-tone,16,11,8,2.2351114519989492,"[14, 10, 9]",2.2351114519989492
194,"[14, 10, 8]",two-tone,16,11,8,2.3020797820276995,"[14, 10, 8]",2.3020797820276995
195,"[14, 10, 7]",two-tone,16,11,8,2.261685293886292,"[14, 10, 7]",2.261685293886292
196,"[14, 10, 6]",two-tone,16,11,8,2.2089068419544025,"[14, 10, 6]",2.2089068419544025
197,"[14, 10, 5]",two-tone,16,11,8,2.1672893946827734,"[14, 10, 5]",2.1672893946827734
198,"[14, 10, 4]",two-tone,16,11,8,2.2013386631183973,"[14, 10, 4]",2.2013386631183973
199,"[14, 10, 3]",two-tone,16,11,8,2.195067290912008,"[14, 10, 3]",2.195067290912008
200,"[14, 10, 2]",two-tone,16,11,8,2.261769763166007,"[14, 10, 2]",2.261769763166007
201,"[14, 10, 10]",two-tone,16,11,8,2.635362741773352,"[14, 10, 10]",2.635362741773352
202,"[13, 9, 9]",two-tone,16,11,8,2.106701301044919,"[13, 9, 9]",2.106701301044919
203,"[13, 9, 8]",two-tone,16,11,8,1.8102079665555968,"[13, 9, 8]",1.8102079665555968
204,"[13, 9, 7]",two-tone,16,11,8,1.7858312312280276,"[13, 9, 7]",1.7858312312280276
205,"[13, 9, 6]",two-tone,16,11,8,1.757052776099527,"[13, 9, 6]",1.757052776099527
