,flop,board_type,0b,1b,2b,profit,flop,max_profit
61,"[8, 2, 2]",two-tone,16,11,8,4.412796819692308,"[8, 2, 2]",4.412796819692308
62,"[7, 7, 6]",two-tone,16,11,8,7.989402002580646,"[7, 7, 6]",7.989402002580646
63,"[7, 7, 5]",two-tone,16,11,8,6.117083635999999,"[7, 7, 5]",6.117083635999999
64,"[7, 7, 4]",two-tone,16,11,8,6.106559993538461,"[7, 7, 4]",6.106559993538461
65,"[7, 7, 3]",two-tone,16,11,8,6.086968015384616,"[7, 7, 3]",6.086968015384616
66,"[7, 7, 2]",two-tone,16,11,8,6.077788850461537,"[7, 7, 2]",6.077788850461537
67,"[7, 6, 6]",two-tone,16,11,8,7.9832554193548395,"[7, 6, 6]",7.9832554193548395
68,"[7, 6, 5]",two-tone,16,11,8,8.08006336516129,"[7, 6, 5]",8.08006336516129
69,"[7, 6, 4]",two-tone,16,11,8,8.046813112258064,"[7, 6, 4]",8.046813112258064
70,"[7, 6, 3]",two-tone,16,11,8,7.98618410064516,"[7, 6, 3]",7.98618410064516
71,"[7, 6, 2]",two-tone,16,11,8,7.926438123870968,"[7, 6, 2]",7.926438123870968
72,"[7, 5, 5]",two-tone,16,11,8,6.125701391384615,"[7, 5, 5]",6.125701391384615
73,"[7, 5, 4]",two-tone,16,11,8,6.490919021846152,"[7, 5, 4]",6.490919021846152
74,"[7, 5, 3]",two-tone,16,11,8,6.316970352615384,"[7, 5, 3]",6.316970352615384
75,"[7, 5, 2]",two-tone,16,11,8,6.143798615076923,"[7, 5, 2]",6.143798615076923
76,"[7, 4, 4]",two-tone,16,11,8,6.12021565753846,"[7, 4, 4]",6.12021565753846
77,"[7, 4, 3]",two-tone,16,11,8,6.301064166461537,"[7, 4, 3]",6.301064166461537
78,"[7, 4, 2]",two-tone,16,11,8,6.135418297230767,"[7, 4, 2]",6.135418297230767
79,"[7, 3, 3]",two-tone,16,11,8,6.109600471384614,"[7, 3, 3]",6.109600471384614
80,"[7, 3, 2]",two-tone,16,11,8,6.115845228923075,"[7, 3, 2]",6.115845228923075
81,"[7, 2, 2]",two-tone,16,11,8,6.095045650461537,"[7, 2, 2]",6.095045650461537
82,"[6, 6, 5]",two-tone,16,11,8,7.791566690461536,"[6, 6, 5]",7.791566690461536
83,"[6, 6, 4]",two-tone,16,11,8,7.788105858461537,"[6, 6, 4]",7.788105858461537
84,"[6, 6, 3]",two-tone,16,11,8,7.794177319384615,"[6, 6, 3]",7.794177319384615
85,"[6, 6, 2]",two-tone,16,11,8,7.793177750153847,"[6, 6, 2]",7.793177750153847
86,"[6, 5, 5]",two-tone,16,11,8,7.7888987741538465,"[6, 5, 5]",7.7888987741538465
87,"[6, 5, 4]",two-tone,16,11,8,7.900283665230767,"[6, 5, 4]",7.900283665230767
88,"[6, 5, 3]",two-tone,16,11,8,7.849106722461537,"[6, 5, 3]",7.849106722461537
89,"[6, 5, 2]",two-tone,16,11,8,7.786610284307692,"[6, 5, 2]",7.786610284307692
90,"[6, 4, 4]",two-tone,16,11,8,7.789922569846152,"[6, 4, 4]",7.789922569846152
91,"[6, 4, 3]",two-tone,16,11,8,7.84499478153846,"[6, 4, 3]",7.84499478153846
92,"[6, 4, 2]",two-tone,16,11,8,7.786175209846152,"[6, 4, 2]",7.786175209846152
