,flop,board_type,0b,1b,2b,profit,flop,max_profit
52,"[8, 5, 5]",two-tone,1,1,1,0.8287408476164932,"[8, 5, 5]",0.8287408476164932
53,"[8, 5, 4]",two-tone,1,1,1,1.2524491782555562,"[8, 5, 4]",1.2524491782555562
54,"[8, 5, 3]",two-tone,1,1,1,0.9302464075191408,"[8, 5, 3]",0.9302464075191408
55,"[8, 5, 2]",two-tone,1,1,1,0.9328739628248628,"[8, 5, 2]",0.9328739628248628
56,"[8, 4, 4]",two-tone,1,1,1,0.9118641729429684,"[8, 4, 4]",0.9118641729429684
57,"[8, 4, 3]",two-tone,1,1,1,1.1059504634110937,"[8, 4, 3]",1.1059504634110937
58,"[8, 4, 2]",two-tone,2,2,2,1.106902564639665,"[8, 4, 2]",1.106902564639665
59,"[8, 3, 3]",two-tone,1,1,1,0.8988666135506729,"[8, 3, 3]",0.8988666135506729
60,"[8, 3, 2]",two-tone,2,2,2,1.0398864103650023,"[8, 3, 2]",1.0398864103650023
61,"[8, 2, 2]",two-tone,2,2,2,0.9021767054221012,"[8, 2, 2]",0.9021767054221012
62,"[7, 7, 6]",two-tone,1,1,1,1.388917789462318,"[7, 7, 6]",1.388917789462318
63,"[7, 7, 5]",two-tone,1,1,1,1.2018206831285168,"[7, 7, 5]",1.2018206831285168
64,"[7, 7, 4]",two-tone,1,1,1,0.9226701765485816,"[7, 7, 4]",0.9226701765485816
65,"[7, 7, 3]",two-tone,1,1,1,0.9248359154089028,"[7, 7, 3]",0.9248359154089028
66,"[7, 7, 2]",two-tone,2,2,2,0.9279616720019588,"[7, 7, 2]",0.9279616720019588
67,"[7, 6, 6]",two-tone,1,1,1,1.4163378950436885,"[7, 6, 6]",1.4163378950436885
68,"[7, 6, 5]",two-tone,1,1,1,0.6822405644535474,"[7, 6, 5]",0.6822405644535474
69,"[7, 6, 4]",two-tone,1,1,1,1.44482799971914,"[7, 6, 4]",1.44482799971914
70,"[7, 6, 3]",two-tone,1,1,1,1.6029938701685371,"[7, 6, 3]",1.6029938701685371
71,"[7, 6, 2]",two-tone,1,1,1,1.5902555979821136,"[7, 6, 2]",1.5902555979821136
72,"[7, 5, 5]",two-tone,1,1,1,1.2274604712685806,"[7, 5, 5]",1.2274604712685806
73,"[7, 5, 4]",two-tone,1,1,1,1.3648432580306769,"[7, 5, 4]",1.3648432580306769
74,"[7, 5, 3]",two-tone,1,1,1,1.340267285569808,"[7, 5, 3]",1.340267285569808
75,"[7, 5, 2]",two-tone,1,1,1,1.4200641366041182,"[7, 5, 2]",1.4200641366041182
76,"[7, 4, 4]",two-tone,1,1,1,0.9040276177811848,"[7, 4, 4]",0.9040276177811848
77,"[7, 4, 3]",two-tone,1,1,1,1.010169176791317,"[7, 4, 3]",1.010169176791317
