,flop,board_type,0b,1b,2b,profit,flop,max_profit
53,"[8, 5, 4]",two-tone,16,11,8,5.739476530109887,"[8, 5, 4]",5.739476530109887
54,"[8, 5, 3]",two-tone,16,11,8,5.496158905494504,"[8, 5, 3]",5.496158905494504
55,"[8, 5, 2]",two-tone,16,11,8,5.501801613186811,"[8, 5, 2]",5.501801613186811
56,"[8, 4, 4]",two-tone,16,11,8,5.414949514725274,"[8, 4, 4]",5.414949514725274
57,"[8, 4, 3]",two-tone,16,11,8,5.479175010109889,"[8, 4, 3]",5.479175010109889
58,"[8, 4, 2]",two-tone,16,11,8,5.479224936263733,"[8, 4, 2]",5.479224936263733
59,"[8, 3, 3]",two-tone,16,11,8,5.401485822417581,"[8, 3, 3]",5.401485822417581
60,"[8, 3, 2]",two-tone,16,11,8,5.453669994725272,"[8, 3, 2]",5.453669994725272
61,"[8, 2, 2]",two-tone,16,11,8,5.393418948571428,"[8, 2, 2]",5.393418948571428
62,"[7, 7, 6]",two-tone,16,11,8,8.328280394470044,"[7, 7, 6]",8.328280394470044
63,"[7, 7, 5]",two-tone,16,11,8,6.80568792131868,"[7, 7, 5]",6.80568792131868
64,"[7, 7, 4]",two-tone,16,11,8,6.797238533626372,"[7, 7, 4]",6.797238533626372
65,"[7, 7, 3]",two-tone,16,11,8,6.786100533186811,"[7, 7, 3]",6.786100533186811
66,"[7, 7, 2]",two-tone,16,11,8,6.783022858901098,"[7, 7, 2]",6.783022858901098
67,"[7, 6, 6]",two-tone,16,11,8,8.33485141751152,"[7, 6, 6]",8.33485141751152
68,"[7, 6, 5]",two-tone,16,11,8,8.427637400921657,"[7, 6, 5]",8.427637400921657
69,"[7, 6, 4]",two-tone,16,11,8,8.394905146543778,"[7, 6, 4]",8.394905146543778
70,"[7, 6, 3]",two-tone,16,11,8,8.353542444239629,"[7, 6, 3]",8.353542444239629
71,"[7, 6, 2]",two-tone,16,11,8,8.3198347281106,"[7, 6, 2]",8.3198347281106
72,"[7, 5, 5]",two-tone,16,11,8,6.825202366153843,"[7, 5, 5]",6.825202366153843
73,"[7, 5, 4]",two-tone,16,11,8,7.117620559120878,"[7, 5, 4]",7.117620559120878
74,"[7, 5, 3]",two-tone,16,11,8,6.991596407032965,"[7, 5, 3]",6.991596407032965
75,"[7, 5, 2]",two-tone,16,11,8,6.861456746373625,"[7, 5, 2]",6.861456746373625
76,"[7, 4, 4]",two-tone,16,11,8,6.810347289230768,"[7, 4, 4]",6.810347289230768
77,"[7, 4, 3]",two-tone,16,11,8,6.9816067582417585,"[7, 4, 3]",6.9816067582417585
78,"[7, 4, 2]",two-tone,16,11,8,6.855035439560437,"[7, 4, 2]",6.855035439560437
79,"[7, 3, 3]",two-tone,16,11,8,6.802562383736262,"[7, 3, 3]",6.802562383736262
80,"[7, 3, 2]",two-tone,16,11,8,6.847588333186812,"[7, 3, 2]",6.847588333186812
81,"[7, 2, 2]",two-tone,16,11,8,6.788266048791207,"[7, 2, 2]",6.788266048791207
82,"[6, 6, 5]",two-tone,16,11,8,8.21563739076923,"[6, 6, 5]",8.21563739076923
83,"[6, 6, 4]",two-tone,16,11,8,8.213572662857139,"[6, 6, 4]",8.213572662857139
84,"[6, 6, 3]",two-tone,16,11,8,8.214262509010988,"[6, 6, 3]",8.214262509010988
85,"[6, 6, 2]",two-tone,16,11,8,8.21001125274725,"[6, 6, 2]",8.21001125274725
86,"[6, 5, 5]",two-tone,16,11,8,8.211056344615383,"[6, 5, 5]",8.211056344615383
87,"[6, 5, 4]",two-tone,16,11,8,8.313577839120878,"[6, 5, 4]",8.313577839120878
88,"[6, 5, 3]",two-tone,16,11,8,8.274243713406593,"[6, 5, 3]",8.274243713406593
89,"[6, 5, 2]",two-tone,16,11,8,8.238144014065933,"[6, 5, 2]",8.238144014065933
90,"[6, 4, 4]",two-tone,16,11,8,8.214634324395602,"[6, 4, 4]",8.214634324395602
91,"[6, 4, 3]",two-tone,16,11,8,8.272888007032964,"[6, 4, 3]",8.272888007032964
92,"[6, 4, 2]",two-tone,16,11,8,8.239517626373626,"[6, 4, 2]",8.239517626373626
93,"[6, 3, 3]",two-tone,16,11,8,8.212378978461537,"[6, 3, 3]",8.212378978461537
94,"[6, 3, 2]",two-tone,16,11,8,8.238836599560441,"[6, 3, 2]",8.238836599560441
95,"[6, 2, 2]",two-tone,16,11,8,8.207591880439558,"[6, 2, 2]",8.207591880439558
96,"[5, 5, 4]",two-tone,16,11,8,8.551711428571428,"[5, 5, 4]",8.551711428571428
97,"[5, 5, 3]",two-tone,16,11,8,8.552039314285715,"[5, 5, 3]",8.552039314285715
98,"[5, 5, 2]",two-tone,16,11,8,8.551306648739494,"[5, 5, 2]",8.551306648739494
99,"[5, 4, 4]",two-tone,16,11,8,8.550876705882352,"[5, 4, 4]",8.550876705882352
100,"[5, 4, 3]",two-tone,16,11,8,8.966478299159665,"[5, 4, 3]",8.966478299159665
101,"[5, 4, 2]",two-tone,16,11,8,8.934194393277311,"[5, 4, 2]",8.934194393277311
102,"[5, 3, 3]",two-tone,16,11,8,8.553951257142856,"[5, 3, 3]",8.553951257142856
103,"[5, 3, 2]",two-tone,16,11,8,8.929077549579832,"[5, 3, 2]",8.929077549579832
104,"[5, 2, 2]",two-tone,16,11,8,8.55159621512605,"[5, 2, 2]",8.55159621512605
105,"[4, 4, 3]",two-tone,16,11,8,8.553000043697478,"[4, 4, 3]",8.553000043697478
106,"[4, 4, 2]",two-tone,16,11,8,8.556999112605041,"[4, 4, 2]",8.556999112605041
107,"[4, 3, 3]",two-tone,16,11,8,8.55345719327731,"[4, 3, 3]",8.55345719327731
108,"[4, 3, 2]",two-tone,16,11,8,8.927120964705884,"[4, 3, 2]",8.927120964705884
109,"[4, 2, 2]",two-tone,16,11,8,8.549262312605041,"[4, 2, 2]",8.549262312605041
110,"[3, 3, 2]",two-tone,16,11,8,8.547355862184874,"[3, 3, 2]",8.547355862184874
111,"[3, 2, 2]",two-tone,16,11,8,8.556928349579831,"[3, 2, 2]",8.556928349579831
112,"[14, 9, 9]",two-tone,16,11,8,4.688726569202898,"[14, 9, 9]",4.688726569202898
113,"[14, 9, 8]",two-tone,16,11,8,6.142888911244376,"[14, 9, 8]",6.142888911244376
114,"[14, 9, 7]",two-tone,16,11,8,5.52629966641679,"[14, 9, 7]",5.52629966641679
115,"[14, 9, 6]",two-tone,16,11,8,5.4621186491754115,"[14, 9, 6]",5.4621186491754115
116,"[14, 9, 5]",two-tone,16,11,8,5.141805657875981,"[14, 9, 5]",5.141805657875981
117,"[14, 9, 4]",two-tone,16,11,8,5.143430852601568,"[14, 9, 4]",5.143430852601568
118,"[14, 9, 3]",two-tone,16,11,8,5.140120399857448,"[14, 9, 3]",5.140120399857448
119,"[14, 9, 2]",two-tone,16,11,8,5.145449140128296,"[14, 9, 2]",5.145449140128296
120,"[14, 8, 8]",two-tone,16,11,8,3.1576021933380085,"[14, 8, 8]",3.1576021933380085
121,"[14, 8, 7]",two-tone,16,11,8,5.623568201768607,"[14, 8, 7]",5.623568201768607
122,"[14, 8, 6]",two-tone,16,11,8,5.017395291893882,"[14, 8, 6]",5.017395291893882
123,"[14, 8, 5]",two-tone,16,11,8,4.7328897017531535,"[14, 8, 5]",4.7328897017531535
124,"[14, 8, 4]",two-tone,16,11,8,4.703388956030853,"[14, 8, 4]",4.703388956030853
125,"[14, 8, 3]",two-tone,16,11,8,4.712117666619915,"[14, 8, 3]",4.712117666619915
126,"[14, 8, 2]",two-tone,16,11,8,4.7035785509817645,"[14, 8, 2]",4.7035785509817645
127,"[14, 7, 7]",two-tone,16,11,8,1.219245227840112,"[14, 7, 7]",1.219245227840112
128,"[14, 7, 6]",two-tone,16,11,8,3.6244590898305082,"[14, 7, 6]",3.6244590898305082
129,"[14, 7, 5]",two-tone,16,11,8,2.8697585781907433,"[14, 7, 5]",2.8697585781907433
130,"[14, 7, 4]",two-tone,16,11,8,2.8266211540673196,"[14, 7, 4]",2.8266211540673196
131,"[14, 7, 3]",two-tone,16,11,8,2.7880913884992977,"[14, 7, 3]",2.7880913884992977
132,"[14, 7, 2]",two-tone,16,11,8,2.7905882643057502,"[14, 7, 2]",2.7905882643057502
133,"[14, 6, 6]",two-tone,16,11,8,-0.2200636641654985,"[14, 6, 6]",-0.2200636641654985
134,"[14, 6, 5]",two-tone,16,11,8,1.5160729849929877,"[14, 6, 5]",1.5160729849929877
135,"[14, 6, 4]",two-tone,16,11,8,1.4274777091164093,"[14, 6, 4]",1.4274777091164093
136,"[14, 6, 3]",two-tone,16,11,8,1.3843309195652171,"[14, 6, 3]",1.3843309195652171
137,"[14, 6, 2]",two-tone,16,11,8,1.3449009737026647,"[14, 6, 2]",1.3449009737026647
138,"[14, 5, 5]",two-tone,16,11,8,-1.6147425472909684,"[14, 5, 5]",-1.6147425472909684
139,"[14, 5, 4]",two-tone,16,11,8,0.1151209842809362,"[14, 5, 4]",0.1151209842809362
140,"[14, 5, 3]",two-tone,16,11,8,0.02178039598662118,"[14, 5, 3]",0.02178039598662118
141,"[14, 5, 2]",two-tone,16,11,8,-0.0315513013377926,"[14, 5, 2]",-0.0315513013377926
142,"[14, 4, 4]",two-tone,16,11,8,-1.6193538561872904,"[14, 4, 4]",-1.6193538561872904
143,"[14, 4, 3]",two-tone,16,11,8,0.025262867224080887,"[14, 4, 3]",0.025262867224080887
144,"[14, 4, 2]",two-tone,16,11,8,-0.034905646488293966,"[14, 4, 2]",-0.034905646488293966
145,"[14, 3, 3]",two-tone,16,11,8,-1.6157050936454846,"[14, 3, 3]",-1.6157050936454846
146,"[14, 3, 2]",two-tone,16,11,8,-0.031103593979933338,"[14, 3, 2]",-0.031103593979933338
147,"[14, 2, 2]",two-tone,16,11,8,-1.6219169511036784,"[14, 2, 2]",-1.6219169511036784
148,"[14, 14, 9]",two-tone,16,11,8,3.6171480526490662,"[14, 14, 9]",3.6171480526490662
149,"[14, 14, 8]",two-tone,16,11,8,2.9134966859278566,"[14, 14, 8]",2.9134966859278566
150,"[14, 14, 7]",two-tone,16,11,8,0.46165552116471,"[14, 14, 7]",0.46165552116471
151,"[14, 14, 6]",two-tone,16,11,8,-1.3477330532551068,"[14, 14, 6]",-1.3477330532551068
152,"[14, 14, 5]",two-tone,16,11,8,-3.092231358633774,"[14, 14, 5]",-3.092231358633774
153,"[14, 14, 4]",two-tone,16,11,8,-3.1007745806451603,"[14, 14, 4]",-3.1007745806451603
154,"[14, 14, 3]",two-tone,16,11,8,-3.101622041935484,"[14, 14, 3]",-3.101622041935484
155,"[14, 14, 2]",two-tone,16,11,8,-3.0942113989879823,"[14, 14, 2]",-3.0942113989879823
156,"[14, 14, 13]",two-tone,16,11,8,7.847489182496345,"[14, 14, 13]",7.847489182496345
157,"[14, 14, 12]",two-tone,16,11,8,7.749856638487297,"[14, 14, 12]",7.749856638487297
158,"[14, 14, 11]",two-tone,15,10,7,5.205647203210473,"[14, 14, 11]",5.205647203210473
159,"[14, 14, 10]",two-tone,16,11,8,5.253884235032023,"[14, 14, 10]",5.253884235032023
160,"[14, 13, 9]",two-tone,16,11,8,5.622540982652044,"[14, 13, 9]",5.622540982652044
161,"[14, 13, 8]",two-tone,15,10,7,7.308887386058059,"[14, 13, 8]",7.308887386058059
162,"[14, 13, 7]",two-tone,16,11,8,6.590871350763942,"[14, 13, 7]",6.590871350763942
163,"[14, 13, 6]",two-tone,16,11,8,6.5865413625286475,"[14, 13, 6]",6.5865413625286475
164,"[14, 13, 5]",two-tone,16,11,8,6.111970070755575,"[14, 13, 5]",6.111970070755575
165,"[14, 13, 4]",two-tone,16,11,8,6.114485095965657,"[14, 13, 4]",6.114485095965657
166,"[14, 13, 3]",two-tone,16,11,8,6.113508591763978,"[14, 13, 3]",6.113508591763978
167,"[14, 13, 2]",two-tone,16,11,8,6.1129009110917085,"[14, 13, 2]",6.1129009110917085
168,"[14, 13, 13]",two-tone,16,11,8,8.147740040210062,"[14, 13, 13]",8.147740040210062
169,"[14, 13, 12]",two-tone,15,10,7,10.862340888854444,"[14, 13, 12]",10.862340888854444
170,"[14, 13, 11]",two-tone,15,10,7,10.233927227173504,"[14, 13, 11]",10.233927227173504
171,"[14, 13, 10]",two-tone,15,10,7,13.534406302831409,"[14, 13, 10]",13.534406302831409
172,"[14, 12, 9]",two-tone,15,10,7,6.2757904007569385,"[14, 12, 9]",6.2757904007569385
173,"[14, 12, 8]",two-tone,16,11,8,8.852390557133731,"[14, 12, 8]",8.852390557133731
174,"[14, 12, 7]",two-tone,16,11,8,7.184940976824168,"[14, 12, 7]",7.184940976824168
175,"[14, 12, 6]",two-tone,16,11,8,7.179538875459968,"[14, 12, 6]",7.179538875459968
176,"[14, 12, 5]",two-tone,16,11,8,6.737527218464855,"[14, 12, 5]",6.737527218464855
177,"[14, 12, 4]",two-tone,16,11,8,6.739040700762259,"[14, 12, 4]",6.739040700762259
178,"[14, 12, 3]",two-tone,16,11,8,6.734415601470362,"[14, 12, 3]",6.734415601470362
179,"[14, 12, 2]",two-tone,16,11,8,6.732168465042354,"[14, 12, 2]",6.732168465042354
180,"[14, 12, 12]",two-tone,16,11,8,8.751573905252524,"[14, 12, 12]",8.751573905252524
181,"[14, 12, 11]",two-tone,16,11,8,10.960191290127758,"[14, 12, 11]",10.960191290127758
182,"[14, 12, 10]",two-tone,15,10,7,13.60624112391157,"[14, 12, 10]",13.60624112391157
183,"[14, 11, 9]",two-tone,15,10,7,5.451165606349205,"[14, 11, 9]",5.451165606349205
184,"[14, 11, 8]",two-tone,16,11,8,6.9964811103896105,"[14, 11, 8]",6.9964811103896105
185,"[14, 11, 7]",two-tone,15,10,7,6.9428460103896095,"[14, 11, 7]",6.9428460103896095
186,"[14, 11, 6]",two-tone,16,11,8,6.911202719480518,"[14, 11, 6]",6.911202719480518
187,"[14, 11, 5]",two-tone,15,10,7,6.461008990147784,"[14, 11, 5]",6.461008990147784
188,"[14, 11, 4]",two-tone,15,10,7,6.462843964285715,"[14, 11, 4]",6.462843964285715
189,"[14, 11, 3]",two-tone,16,11,8,6.461795033251232,"[14, 11, 3]",6.461795033251232
190,"[14, 11, 2]",two-tone,15,10,7,6.460857270935961,"[14, 11, 2]",6.460857270935961
