,_flop,_board_type,_0b,_1b,_2b,_profit,flop,max_profit
317,"[12, 12, 7]",two-tone,15,10,7,0.8203434358019109,"[12, 12, 7]",0.8203434358019109
318,"[12, 12, 6]",two-tone,15,10,7,0.9615231615027257,"[12, 12, 6]",0.9615231615027257
319,"[12, 12, 5]",two-tone,16,11,8,1.0200005474783198,"[12, 12, 5]",1.0200005474783198
320,"[12, 12, 4]",two-tone,16,11,8,1.1798951672903608,"[12, 12, 4]",1.1798951672903608
321,"[12, 12, 3]",two-tone,15,10,7,1.188423278689408,"[12, 12, 3]",1.188423278689408
322,"[12, 12, 2]",two-tone,16,11,8,1.1689514537319003,"[12, 12, 2]",1.1689514537319003
323,"[12, 12, 11]",two-tone,8,6,4,0.7175261449297982,"[12, 12, 11]",0.7175261449297982
324,"[12, 12, 10]",two-tone,2,2,2,0.6964350240235404,"[12, 12, 10]",0.6964350240235404
325,"[12, 11, 9]",two-tone,1,1,1,1.2950940850812367,"[12, 11, 9]",1.2950940850812367
326,"[12, 11, 8]",two-tone,2,2,2,1.5239887971080184,"[12, 11, 8]",1.5239887971080184
327,"[12, 11, 7]",two-tone,2,2,2,0.7011578349177661,"[12, 11, 7]",0.7011578349177661
328,"[12, 11, 6]",two-tone,2,2,2,0.7779865307740464,"[12, 11, 6]",0.7779865307740464
329,"[12, 11, 5]",two-tone,2,2,2,0.7775245604677373,"[12, 11, 5]",0.7775245604677373
330,"[12, 11, 4]",two-tone,2,2,2,0.804882513365847,"[12, 11, 4]",0.804882513365847
331,"[12, 11, 3]",two-tone,2,2,2,0.8047987050310489,"[12, 11, 3]",0.8047987050310489
332,"[12, 11, 2]",two-tone,2,2,2,0.816863831353434,"[12, 11, 2]",0.816863831353434
333,"[12, 11, 11]",two-tone,8,6,4,0.8203115831525652,"[12, 11, 11]",0.8203115831525652
334,"[12, 11, 10]",two-tone,1,1,1,1.4001292752599053,"[12, 11, 10]",1.4001292752599053
335,"[12, 10, 9]",two-tone,1,1,1,1.4138049460535211,"[12, 10, 9]",1.4138049460535211
336,"[12, 10, 8]",two-tone,1,1,1,1.4093165279343134,"[12, 10, 8]",1.4093165279343134
337,"[12, 10, 7]",two-tone,2,2,2,0.780522831351203,"[12, 10, 7]",0.780522831351203
338,"[12, 10, 6]",two-tone,2,2,2,0.8101107740686655,"[12, 10, 6]",0.8101107740686655
339,"[12, 10, 5]",two-tone,2,2,2,0.8120520768788302,"[12, 10, 5]",0.8120520768788302
340,"[12, 10, 4]",two-tone,2,2,2,0.8352878502596593,"[12, 10, 4]",0.8352878502596593
341,"[12, 10, 3]",two-tone,2,2,2,0.8467800862656437,"[12, 10, 3]",0.8467800862656437
342,"[12, 10, 2]",two-tone,2,2,2,0.8545166227447242,"[12, 10, 2]",0.8545166227447242
343,"[12, 10, 10]",two-tone,1,1,1,0.6692456963498081,"[12, 10, 10]",0.6692456963498081
344,"[11, 9, 9]",two-tone,1,1,1,0.6125976861874238,"[11, 9, 9]",0.6125976861874238
