,_flop,_board_type,_0b,_1b,_2b,_profit,flop,max_profit
365,"[11, 6, 6]",two-tone,10,7,5,1.7783430766748136,"[11, 6, 6]",1.7783430766748136
366,"[11, 6, 5]",two-tone,1,1,1,1.6118761441927714,"[11, 6, 5]",1.6118761441927714
367,"[11, 6, 4]",two-tone,1,1,1,1.6243811438124622,"[11, 6, 4]",1.6243811438124622
368,"[11, 6, 3]",two-tone,1,1,1,1.079836478089098,"[11, 6, 3]",1.079836478089098
369,"[11, 6, 2]",two-tone,2,2,2,1.0944500293794035,"[11, 6, 2]",1.0944500293794035
370,"[11, 5, 5]",two-tone,10,7,5,1.690836102333917,"[11, 5, 5]",1.690836102333917
371,"[11, 5, 4]",two-tone,1,1,1,1.59686779986347,"[11, 5, 4]",1.59686779986347
372,"[11, 5, 3]",two-tone,1,1,1,1.0108044386800137,"[11, 5, 3]",1.0108044386800137
373,"[11, 5, 2]",two-tone,2,2,2,1.0188425824160263,"[11, 5, 2]",1.0188425824160263
374,"[11, 4, 4]",two-tone,10,7,5,1.3834504089153965,"[11, 4, 4]",1.3834504089153965
375,"[11, 4, 3]",two-tone,1,1,1,0.966006510030891,"[11, 4, 3]",0.966006510030891
376,"[11, 4, 2]",two-tone,2,2,2,0.9544778033498384,"[11, 4, 2]",0.9544778033498384
377,"[11, 3, 3]",two-tone,1,1,1,1.271188616650396,"[11, 3, 3]",1.271188616650396
378,"[11, 3, 2]",two-tone,1,1,1,0.9323404464372952,"[11, 3, 2]",0.9323404464372952
379,"[11, 2, 2]",two-tone,3,2,2,1.25199261963679,"[11, 2, 2]",1.25199261963679
380,"[11, 11, 9]",two-tone,16,11,8,2.3148410968014317,"[11, 11, 9]",2.3148410968014317
381,"[11, 11, 8]",two-tone,10,7,5,1.8614122200210672,"[11, 11, 8]",1.8614122200210672
382,"[11, 11, 7]",two-tone,10,7,5,1.8684938790133692,"[11, 11, 7]",1.8684938790133692
383,"[11, 11, 6]",two-tone,10,7,5,1.4769512416195223,"[11, 11, 6]",1.4769512416195223
384,"[11, 11, 5]",two-tone,10,7,5,1.4048540738144877,"[11, 11, 5]",1.4048540738144877
385,"[11, 11, 4]",two-tone,2,2,2,1.3138149021902006,"[11, 11, 4]",1.3138149021902006
386,"[11, 11, 3]",two-tone,2,2,2,1.2716271129435666,"[11, 11, 3]",1.2716271129435666
387,"[11, 11, 2]",two-tone,2,2,2,1.2492639218297343,"[11, 11, 2]",1.2492639218297343
388,"[11, 11, 10]",two-tone,16,11,8,2.6081360941959773,"[11, 11, 10]",2.6081360941959773
389,"[11, 10, 9]",two-tone,1,1,1,1.234761248468328,"[11, 10, 9]",1.234761248468328
390,"[11, 10, 8]",two-tone,1,1,1,1.967860293192144,"[11, 10, 8]",1.967860293192144
391,"[11, 10, 7]",two-tone,1,1,1,1.1097171484493942,"[11, 10, 7]",1.1097171484493942
392,"[11, 10, 6]",two-tone,1,1,1,2.0830564435940926,"[11, 10, 6]",2.0830564435940926
393,"[11, 10, 5]",two-tone,1,1,1,2.0991122749252265,"[11, 10, 5]",2.0991122749252265
394,"[11, 10, 4]",two-tone,1,1,1,2.1156424198735992,"[11, 10, 4]",2.1156424198735992
395,"[11, 10, 3]",two-tone,1,1,1,2.1601959325490614,"[11, 10, 3]",2.1601959325490614
396,"[11, 10, 2]",two-tone,1,1,1,2.205318948781625,"[11, 10, 2]",2.205318948781625
397,"[11, 10, 10]",two-tone,16,11,8,2.607010265534944,"[11, 10, 10]",2.607010265534944
398,"[10, 9, 9]",two-tone,16,11,8,1.802175413775772,"[10, 9, 9]",1.802175413775772
399,"[10, 9, 8]",two-tone,1,1,1,0.9611786826116586,"[10, 9, 8]",0.9611786826116586
400,"[10, 9, 7]",two-tone,1,1,1,0.9384860072918916,"[10, 9, 7]",0.9384860072918916
401,"[10, 9, 6]",two-tone,1,1,1,0.11780115367227185,"[10, 9, 6]",0.11780115367227185
402,"[10, 9, 5]",two-tone,1,1,1,1.2125369247191164,"[10, 9, 5]",1.2125369247191164
403,"[10, 9, 4]",two-tone,1,1,1,1.2237999260207222,"[10, 9, 4]",1.2237999260207222
404,"[10, 9, 3]",two-tone,1,1,1,1.2676195109665758,"[10, 9, 3]",1.2676195109665758
405,"[10, 9, 2]",two-tone,1,1,1,1.304085116274914,"[10, 9, 2]",1.304085116274914
406,"[10, 8, 8]",two-tone,15,10,7,1.0585059195250974,"[10, 8, 8]",1.0585059195250974
407,"[10, 8, 7]",two-tone,1,1,1,0.4506145908866,"[10, 8, 7]",0.4506145908866
408,"[10, 8, 6]",two-tone,1,1,1,0.9059270259190056,"[10, 8, 6]",0.9059270259190056
409,"[10, 8, 5]",two-tone,1,1,1,0.6591856473089059,"[10, 8, 5]",0.6591856473089059
410,"[10, 8, 4]",two-tone,1,1,1,0.7022539312355682,"[10, 8, 4]",0.7022539312355682
411,"[10, 8, 3]",two-tone,1,1,1,0.7233767380546401,"[10, 8, 3]",0.7233767380546401
412,"[10, 8, 2]",two-tone,1,1,1,0.7642337428506363,"[10, 8, 2]",0.7642337428506363
413,"[10, 7, 7]",two-tone,10,7,5,1.4132607043121592,"[10, 7, 7]",1.4132607043121592
414,"[10, 7, 6]",two-tone,1,1,1,0.16656434864438008,"[10, 7, 6]",0.16656434864438008
415,"[10, 7, 5]",two-tone,1,1,1,1.2343746548466898,"[10, 7, 5]",1.2343746548466898
416,"[10, 7, 4]",two-tone,1,1,1,1.2235467435608316,"[10, 7, 4]",1.2235467435608316
417,"[10, 7, 3]",two-tone,1,1,1,1.2623593436166547,"[10, 7, 3]",1.2623593436166547
418,"[10, 7, 2]",two-tone,1,1,1,1.2804956596923107,"[10, 7, 2]",1.2804956596923107
419,"[10, 6, 6]",two-tone,2,2,2,1.6176405810108545,"[10, 6, 6]",1.6176405810108545
420,"[10, 6, 5]",two-tone,1,1,1,1.4764982984946884,"[10, 6, 5]",1.4764982984946884
421,"[10, 6, 4]",two-tone,1,1,1,1.4515750337987008,"[10, 6, 4]",1.4515750337987008
422,"[10, 6, 3]",two-tone,1,1,1,1.653145632148057,"[10, 6, 3]",1.653145632148057
423,"[10, 6, 2]",two-tone,1,1,1,1.6790897699332517,"[10, 6, 2]",1.6790897699332517
424,"[10, 5, 5]",two-tone,1,1,1,1.2556488612045646,"[10, 5, 5]",1.2556488612045646
425,"[10, 5, 4]",two-tone,1,1,1,1.3697732850465207,"[10, 5, 4]",1.3697732850465207
426,"[10, 5, 3]",two-tone,2,2,2,0.7906293306023711,"[10, 5, 3]",0.7906293306023711
427,"[10, 5, 2]",two-tone,2,2,2,0.7998950685129198,"[10, 5, 2]",0.7998950685129198
428,"[10, 4, 4]",two-tone,1,1,1,1.0972203753080283,"[10, 4, 4]",1.0972203753080283
429,"[10, 4, 3]",two-tone,1,1,1,0.7410413516142336,"[10, 4, 3]",0.7410413516142336
430,"[10, 4, 2]",two-tone,2,2,2,0.7335258333334677,"[10, 4, 2]",0.7335258333334677
431,"[10, 3, 3]",two-tone,1,1,1,0.995332910209088,"[10, 3, 3]",0.995332910209088
432,"[10, 3, 2]",two-tone,1,1,1,0.7034085212193381,"[10, 3, 2]",0.7034085212193381
433,"[10, 2, 2]",two-tone,1,1,1,0.9604281328622628,"[10, 2, 2]",0.9604281328622628
434,"[10, 10, 9]",two-tone,16,11,8,1.7230978054787391,"[10, 10, 9]",1.7230978054787391
435,"[10, 10, 8]",two-tone,10,7,5,1.113075157460515,"[10, 10, 8]",1.113075157460515
436,"[10, 10, 7]",two-tone,1,1,1,1.1823538218868246,"[10, 10, 7]",1.1823538218868246
437,"[10, 10, 6]",two-tone,1,1,1,1.411710911254466,"[10, 10, 6]",1.411710911254466
438,"[10, 10, 5]",two-tone,1,1,1,0.874695627694321,"[10, 10, 5]",0.874695627694321
439,"[10, 10, 4]",two-tone,1,1,1,0.8117772473602177,"[10, 10, 4]",0.8117772473602177
440,"[10, 10, 3]",two-tone,1,1,1,0.7814175057367047,"[10, 10, 3]",0.7814175057367047
441,"[10, 10, 2]",two-tone,2,2,2,0.7651253218798213,"[10, 10, 2]",0.7651253218798213
