,flop,board_type,0b,1b,2b,profit
0,"[12, 10, 9]",two-tone,1,1,1,3.155984694993722
1,"[12, 10, 9]",two-tone,2,2,2,3.1597686429244014
2,"[12, 10, 9]",two-tone,3,2,2,3.679863353847189
3,"[12, 10, 9]",two-tone,4,3,2,5.184325783197695
4,"[12, 10, 9]",two-tone,8,6,4,5.7492930517050045
5,"[12, 10, 9]",two-tone,15,10,7,7.796157211432831
