,flop,board_type,0b,1b,2b,profit
0,"[14, 6, 4]",rainbow,1,1,1,0.5135058419604803
1,"[14, 6, 4]",rainbow,2,2,2,0.5166098276830684
2,"[14, 6, 4]",rainbow,3,2,2,0.6469537571387063
3,"[14, 6, 4]",rainbow,4,3,2,0.8301210151427098
4,"[14, 6, 4]",rainbow,8,6,4,1.4512031515433295
5,"[14, 6, 4]",rainbow,10,7,5,1.6840454322872271
6,"[14, 6, 4]",rainbow,15,10,7,2.9053102362004397
7,"[14, 6, 4]",rainbow,16,11,8,3.069923818274571
