,flop,board_type,0b,1b,2b,profit
0,"[11, 11, 9]",two-tone,0,0,0,1.15840242605156
1,"[11, 11, 9]",two-tone,1,1,1,1.8085936454093168
2,"[11, 11, 9]",two-tone,3,2,2,1.8813893052679185
3,"[11, 11, 9]",two-tone,5,4,3,1.9275090124735175
4,"[11, 11, 9]",two-tone,7,5,4,2.033153028832009
5,"[11, 11, 9]",two-tone,8,6,4,2.149725268027452
6,"[11, 11, 9]",two-tone,10,7,5,2.1991550051675857
7,"[11, 11, 9]",two-tone,11,8,6,2.228330844391392
8,"[11, 11, 9]",two-tone,13,9,6,2.2947592813417055
9,"[11, 11, 9]",two-tone,13,10,7,2.3496685842037173
10,"[11, 11, 9]",two-tone,13,11,8,2.429500145593386
11,"[11, 11, 9]",two-tone,13,14,10,2.4420923346319485
