,flop,board_type,0b,1b,2b,profit
0,"[11, 9, 9]",two-tone,0,0,0,0.6297010622950819
1,"[11, 9, 9]",two-tone,1,1,1,1.3248462190163934
2,"[11, 9, 9]",two-tone,3,2,2,1.496702137071792
3,"[11, 9, 9]",two-tone,5,4,3,1.5895756021254948
4,"[11, 9, 9]",two-tone,7,5,4,1.699898996908665
5,"[11, 9, 9]",two-tone,8,6,4,1.808351202922717
6,"[11, 9, 9]",two-tone,10,7,5,1.8522023409409067
7,"[11, 9, 9]",two-tone,11,8,6,1.8602060856206086
8,"[11, 9, 9]",two-tone,13,9,6,1.950105401228819
9,"[11, 9, 9]",two-tone,14,10,7,2.0260101885901642
10,"[11, 9, 9]",two-tone,16,11,8,2.1366154439344265
11,"[11, 9, 9]",two-tone,16,14,10,2.156540409180328
