,flop,board_type,0b,1b,2b,profit
0,"[12, 12, 11]",two-tone,0,0,0,1.0917648970014517
1,"[12, 12, 11]",two-tone,1,1,1,1.9421040667079095
2,"[12, 12, 11]",two-tone,2,2,2,2.043964918603623
3,"[12, 12, 11]",two-tone,3,2,2,2.1553434663013697
4,"[12, 12, 11]",two-tone,7,5,4,2.2136469103129586
5,"[12, 12, 11]",two-tone,8,6,4,2.4044971761503198
6,"[12, 12, 11]",two-tone,10,7,5,2.434463194064823
7,"[12, 12, 11]",two-tone,11,8,6,2.4492503411638684
8,"[12, 12, 11]",two-tone,13,9,6,2.590551465766071
9,"[12, 12, 11]",two-tone,14,10,7,2.6193095632157064
10,"[12, 12, 11]",two-tone,16,11,8,2.722276462494034
11,"[12, 12, 11]",two-tone,16,14,10,2.732585304816615
12,"[12, 12, 11]",two-tone,16,14,13,2.7547892377198404
